Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
freeCodeCamp,426727,2014-12-24T17:49:19Z,299,40674,0,TypeScript,19653
build-your-own-x,414847,2018-05-09T12:03:18Z,422,478,0,Markdown,595
awesome,395645,2014-07-11T13:42:37Z,55,2163,0,,340
free-programming-books,366644,2013-10-11T06:50:37Z,38,10222,0,Python,1152
public-apis,363212,2016-03-20T23:49:42Z,566,3516,0,Python,704
developer-roadmap,334856,2017-03-15T13:45:52Z,281,5375,1,TypeScript,2693
coding-interview-university,325220,2016-06-06T02:34:12Z,80,1009,0,,453
system-design-primer,317895,2017-02-26T16:15:28Z,515,599,0,Python,91
996.ICU,274183,2019-03-26T07:31:14Z,16696,1912,0,,0
awesome-python,257138,2014-06-27T21:00:06Z,490,2038,0,Python,0
awesome-selfhosted,244089,2015-06-01T02:33:17Z,0,2986,1,,806
project-based-learning,241528,2017-04-12T05:07:46Z,239,459,0,,80
react,238448,2013-05-24T16:15:54Z,1025,0,105,JavaScript,0
vue,209307,2013-07-29T03:24:51Z,604,0,249,TypeScript,0
Python,204910,2016-07-16T09:44:01Z,412,0,0,Python,0
linux,200897,2011-09-04T22:48:12Z,494,0,0,C,0
javascript-algorithms,193111,2018-03-24T07:47:04Z,369,0,0,JavaScript,0
tensorflow,191370,2015-11-07T01:19:20Z,1509,0,219,C++,0
computer-science,191145,2014-05-04T00:18:39Z,15,0,0,HTML,0
the-book-of-secret-knowledge,183960,2018-06-23T10:43:14Z,101,0,0,,0
You-Dont-Know-JS,183080,2013-11-16T02:37:24Z,125,0,0,,0
CS-Notes,181612,2018-02-13T14:56:24Z,189,0,0,,0
ohmyzsh,181009,2009-08-28T18:15:37Z,502,0,0,Shell,0
AutoGPT,178124,2023-03-16T09:21:07Z,208,6113,69,Python,3245
vscode,176159,2015-09-03T20:23:38Z,12951,42813,177,TypeScript,193937
bootstrap,173100,2011-07-29T21:19:00Z,567,15607,94,MDX,22348
flutter,172168,2015-03-06T22:54:58Z,12196,64232,7,Dart,97052
Python-100-Days,171444,2018-03-01T16:05:52Z,737,367,0,Jupyter Notebook,118
gitignore,168960,2010-11-08T20:17:14Z,313,4528,0,,0
the-art-of-command-line,157928,2015-05-20T15:11:03Z,250,591,0,,136
stable-diffusion-webui,156002,2022-08-22T14:05:26Z,2423,3239,27,Python,5468
JavaGuide,151451,2018-05-07T13:27:00Z,72,1493,0,Java,1032
ollama,151130,2023-06-26T19:39:32Z,2148,3786,145,Go,6269
awesome-go,151023,2014-07-06T13:42:15Z,148,4868,0,Go,682
transformers,148922,2018-10-29T13:56:00Z,1969,22099,224,Python,16770
javascript,147321,2012-11-01T23:13:50Z,177,1646,0,JavaScript,1271
Microsoft-Activation-Scripts,146250,2020-01-12T23:03:34Z,1,45,24,Batchfile,725
youtube-dl,137085,2010-10-31T14:35:07Z,4144,4832,341,Python,23121
next.js,134057,2016-10-05T23:32:51Z,3320,0,3251,JavaScript,0
n8n,133391,2019-06-22T09:24:21Z,1111,0,386,TypeScript,0
awesome-chatgpt-prompts,133315,2022-12-05T13:54:13Z,282,0,0,JavaScript,0
go,129625,2014-08-19T04:33:40Z,9526,0,0,Go,0
tech-interview-handbook,129282,2016-07-05T05:00:48Z,54,0,0,TypeScript,0
fucking-algorithm,129071,2020-02-19T09:01:23Z,42,0,1,Markdown,0
scrcpy,127220,2017-11-21T18:00:27Z,2517,0,47,C,0
HelloGitHub,126558,2016-05-04T06:24:11Z,194,0,57,Python,0
30-seconds-of-code,125113,2017-11-29T17:35:03Z,0,0,12,JavaScript,0
yt-dlp,124482,2020-10-26T04:22:55Z,2018,0,119,Python,0
react-native,123574,2015-01-09T18:10:16Z,1019,0,410,C++,0
PowerToys,122682,2019-05-01T17:44:02Z,7097,0,117,C#,0
electron,118068,2013-04-12T01:47:36Z,865,0,1743,C++,0
kubernetes,117121,2014-06-06T22:56:04Z,2557,0,756,Go,0
hello-algo,115850,2022-11-04T11:08:34Z,28,0,9,Java,0
free-programming-books-zh_CN,115080,2013-11-04T01:59:19Z,31,0,3,,0
langchain,114386,2022-10-17T02:58:36Z,373,0,956,Jupyter Notebook,0
node,112980,2014-11-26T19:57:11Z,2360,0,456,JavaScript,0
dify,112389,2023-04-12T07:40:24Z,818,0,141,TypeScript,0
d3,111370,2010-09-27T17:22:42Z,22,1190,194,Shell,2220
free-for-dev,111011,2015-03-18T21:06:26Z,13,3618,0,HTML,0
three.js,108306,2010-03-23T18:58:01Z,606,18303,171,JavaScript,12736
open-webui,108215,2023-10-06T22:08:27Z,262,4201,123,JavaScript,6050
langflow,107560,2023-02-08T22:28:03Z,861,6239,263,Python,2288
axios,107493,2014-08-18T22:30:27Z,303,1863,97,JavaScript,4643
excalidraw,106120,2020-01-02T01:04:43Z,2329,5187,14,TypeScript,2404
rust,106081,2010-06-16T20:39:03Z,11437,85785,140,Rust,48667
TypeScript,105752,2014-06-17T15:28:39Z,6064,18677,212,TypeScript,36892
deno,104047,2018-05-15T01:34:26Z,2363,15972,342,Rust,10935
nodebestpractices,104015,2017-09-15T08:33:19Z,82,965,0,Dockerfile,285
create-react-app,103470,2016-07-17T14:55:11Z,2330,4320,83,JavaScript,6567
GitHub-Chinese-Top-Charts,101632,2019-09-05T03:01:56Z,188,6,0,Java,161
godot,100667,2014-01-04T16:05:36Z,16288,50647,61,C++,46085
terminal,99536,2017-08-11T18:38:22Z,1651,4764,138,C++,11874
